,Nome,Código,Último,Var%,Vol.,Hora
0,iShares Ibovespa ETF,BOVA11,122.06,-0.63%,"2,57M",16:11:32
1,It Now Ibovespa ETF,BOVV11,127.96,-0.69%,"1,64M",16:11:14
2,iShares BM&FBOVESPA Small Cap ETF,SMAL11,89.62,-1.08%,"850,55K",16:11:30
3,Hashdex Nasdaq Crypto ETF,HASH11,68.01,-2.07%,"632,25K",16:11:44
4,QR CME CF Bitcoin Reference Rate ETF,QBTC11,30.1,-2.90%,"616,96K",16:11:47
5,Trend ETF MSCI China,XINA11,8.17,+2.51%,"464,79K",16:11:35
6,It Now IMA-B5 P2 ETF,B5P211,93.92,-0.17%,"454,13K",16:10:52
7,Trend Ibovespa ETF,BOVX11,12.72,-0.63%,"433,58K",16:11:32
8,Trend ETF LBMA Ouro,GOLD11,176.6,+0.57%,"327,67K",16:11:49
9,Trend ETF Nasdaq 100 ETF,NASD11,16.98,+0.47%,"312,38K",16:11:18
10,QR CME CF SOLANA,QSOL11,9.66,-8.00%,"194,03K",16:11:14
11,Hashdex Nasdaq Ethereum Reference Price ETF,ETHE11,39.08,-6.97%,"171,81K",16:11:41
12,QR CME CF Ether Reference Rate ETF,QETH11,9.41,-6.83%,"165,16K",16:11:09
13,It Now ID ETF IMA-B ETF,IMAB11,984.3,-0.04%,"350,95K",16:11:44
14,ETF BTG Teva Debêntures DI,DEBB11,13.88,-0.07%,"140,51K",16:11:49
15,Hashdex Nasdaq Bitcoin Reference Rate ETF,BITH11,112.77,-2.24%,"123,05K",16:11:18
16,iShares S&P 500 ETF,IVVB11,385.04,+0.53%,"113,25K",16:11:47
17,HASHDEX NASDAQ SOLANA,SOLH11,21.59,-6.86%,"79,52K",16:11:48
18,Nu Renda Ibov Smart Dividendos ETF,NDIV11,104.46,-0.18%,"61,71K",15:55:47
19,Buena Vista Neos Russell 2000 High Income,IWMI11,86.43,+0.31%,"55,98K",16:04:05
20,Buena Vista Neos Bitcoin High Income Index,COIN11,81.91,-1.49%,"55,77K",16:09:31
21,It Now IDIV ETF,DIVO11,92.25,-0.40%,"45,54K",16:11:35
22,ETF Investo Teva Tesouro Selic,LFTS11,129.89,+0.05%,"43,29K",16:11:51
23,BB Índice Futuro de Dólar S&P/B3 ETF,DOLA11,10.69,+0.85%,"40,78K",16:10:32
24,IT Now NYSE Fang+TM ETF,TECK11,98.21,+1.46%,"32,90K",16:04:49
25,ETF Hashdex DeFi,DEFI11,28.6,-6.93%,"29,54K",16:09:52
26,ETF Trend IFIX,XFIX11,11.1,+0.18%,"26,50K",16:05:45
27,BTG PACTUAL TEVA DIVIDENDOS ATIVOS REAIS LISTADOS,TIRB11,9.68,-0.10%,"25,15K",16:02:41
28,iShares Bitcoin Trust BDR,IBIT39,92.94,-3.28%,"22,46K",16:11:28
29,ETF iShares 20+ Year Treasury Bond BDR,BTLT39,35.45,+0.85%,"21,02K",16:11:03
30,Buena Vista Nasdaq-100 High Income,QQQI11,104.19,-0.19%,"19,43K",16:05:01
31,ETF Investo S&P SmallCap 600 Value,SVAL11,132.46,-0.03%,"17,17K",16:05:01
32,ETF BB Índice Futuro de Milho B3,CORN11,6.88,+1.62%,"16,92K",15:57:54
